2025-05-12 10:23:50 [info     / 116kB] > GET /hotspot-detect.html (200 OK) [141ms]
2025-05-12 10:23:51 [debug    / 105kB] > parsed template: ap_templates/redirect.html (took 12 ms)
2025-05-12 10:23:51 [info     / 103kB] > GET /hotspot-detect.html (200 OK) [564ms]
2025-05-12 10:23:52 [debug    / 137kB] > parsed template: ap_templates/redirect.html (took 22 ms)
2025-05-12 10:23:52 [info     / 135kB] > GET /hotspot-detect.html (200 OK) [376ms]
2025-05-12 10:24:03 [error    / 136kB] need more than 0 values to unpack
2025-05-12 10:24:03 [debug    / 125kB] > parsed template: ap_templates/redirect.html (took 10 ms)
2025-05-12 10:24:03 [info     / 123kB] > CONNECT proxy-safebrowsing.googleapis.com:443 (200 OK) [260ms]
2025-05-12 10:24:04 [debug    / 114kB] > parsed template: ap_templates/redirect.html (took 10 ms)
2025-05-12 10:24:04 [info     / 112kB] > CONNECT proxy-safebrowsing.googleapis.com:443 (200 OK) [215ms]
2025-05-12 10:24:04 [debug    / 103kB] > parsed template: ap_templates/redirect.html (took 11 ms)
2025-05-12 10:24:04 [info     / 133kB] > CONNECT proxy-safebrowsing.googleapis.com:443 (200 OK) [219ms]
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:03 [info     / 147kB] > starting web server on port 80
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:02 [info     / 147kB] > starting web server on port 80
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:02 [info     / 147kB] > starting web server on port 80
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:02 [info     / 147kB] > starting web server on port 80
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:03 [info     / 147kB] > starting web server on port 80
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:03 [info     / 147kB] > starting web server on port 80
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:03 [info     / 147kB] > starting web server on port 80
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:03 [info     / 147kB] > starting web server on port 80
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:02 [info     / 147kB] > starting web server on port 80
2021-01-01 00:00:02 [info     / 149kB] > starting catch all dns server on port 53
2021-01-01 00:00:02 [info     / 147kB] > starting web server on port 80
